latitude,longitude
22.068390466154,82.531881213895
22.11665207864,82.574326090695
22.213134517199,82.659310938346
22.261355260117,82.701851087565
22.309562296559,82.744423172814
22.357757523448,82.787028998318
22.405937020973,82.829665225449
22.454102686453,82.872333657369
22.502254477873,82.915034383893
22.598516270067,83.000533080581
22.646626186407,83.043331230952
22.694723994593,83.086163760221
22.742805782088,83.12902731233
22.790873441729,83.171923700353
22.838926930934,83.214853014917
22.886966207036,83.257815346761
22.983001948856,83.343839425826
23.030998328827,83.386901355108
23.078982254391,83.429998400335
23.126949821511,83.473127185094
23.174902917787,83.516289534022
23.222841499972,83.559485538674
23.270765524731,83.602715290727
23.366569728214,83.689276404314
23.414451745927,83.732609693845
23.462317105356,83.775975355962
23.510167689414,83.819375225617
23.558003454257,83.86280939519
23.605824355951,83.90627795718
23.653630350478,83.949781004205
23.749197441525,84.036890924416
23.796960370855,84.080499738587
23.844706294182,84.12414165569
23.892437088943,84.167818522695
24.035538255935,84.299059757
24.083208090101,84.342877358089
24.130864489085,84.386732141985
24.178503573296,84.430620673905
24.226127215265,84.474544811537
24.321327991712,84.562500280713
24.368905035582,84.606531800946
24.416466455992,84.650599304267
24.46401412002,84.694704660483
24.559058432026,84.783020437881
24.606556901724,84.827232822661
24.654039519382,84.871481664956
24.701506239008,84.915767060009
24.748957014517,84.960089103187
24.796391799729,85.004447889974
24.843812455865,85.048845302908
24.938601656594,85.137747458583
